stem,keep_frac,gtm_vs_gt_psnr_keep,unmasked_split,unmasked_psnr_full,unmasked_psnr_keep,unmasked_psnr_excl,native_prompt_split,native_prompt_psnr_full,native_prompt_psnr_keep,native_prompt_psnr_excl,masked_split,masked_psnr_full,masked_psnr_keep,masked_psnr_excl
DJI_0002,0.8579413333333333,40.294437408447266,test,20.954801559448242,20.829086303710938,21.80279541015625,test,21.922901153564453,21.475629806518555,26.546449661254883,train,10.808247566223145,17.394132614135742,3.2390120029449463
DJI_0003,0.8584853333333333,40.470176696777344,train,21.009540557861328,20.940528869628906,21.4534912109375,train,21.804025650024414,21.377050399780273,26.083669662475586,train,10.756698608398438,17.295167922973633,3.182523012161255
DJI_0005,0.8558453333333333,40.416900634765625,train,22.446788787841797,22.159231185913086,24.711971282958984,train,22.938732147216797,22.387197494506836,30.014894485473633,train,11.144113540649414,17.978599548339844,3.5804975032806396
DJI_0006,0.814304,39.868778228759766,train,27.703083038330078,28.464927673339844,25.38442611694336,train,27.32891845703125,28.284761428833008,24.61909294128418,train,9.790887832641602,27.394367218017578,2.540760040283203
DJI_0007,0.800528,39.93550491333008,train,26.145275115966797,27.075210571289062,23.656810760498047,train,26.30672836303711,26.529308319091797,25.513111114501953,train,8.27037525177002,26.072391510009766,1.3272525072097778
DJI_0008,0.8077066666666667,40.395755767822266,train,26.354740142822266,26.755704879760742,24.98614501953125,train,26.35000991821289,26.643095016479492,25.297943115234375,train,9.752758026123047,26.7331600189209,2.6632823944091797
DJI_0009,0.7558613333333334,39.72828674316406,train,26.526763916015625,26.217985153198242,27.6513671875,train,26.69843864440918,26.340972900390625,28.039203643798828,train,9.376180648803711,26.16896629333496,3.321794033050537
DJI_0010,0.6814293333333333,39.442909240722656,train,24.68183135986328,24.298320770263672,25.637271881103516,train,26.328832626342773,25.39933204650879,29.431190490722656,test,9.01988410949707,20.533048629760742,4.266007423400879
DJI_0011,0.6451253333333333,40.46422576904297,test,19.03723907470703,18.965246200561523,19.1712589263916,test,19.715564727783203,19.622295379638672,19.890424728393555,train,8.98240852355957,23.264694213867188,4.588955879211426
DJI_0012,0.6188266666666666,40.522613525390625,train,25.647981643676758,24.310148239135742,29.474794387817383,train,25.917081832885742,24.755306243896484,28.909439086914062,train,9.445052146911621,25.74326515197754,5.319766998291016
